DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2001-01-04,2.75,0.8,,,73926,1.6,1.6,1.6,1.6
2001-01-05,2.75,0.8,,,22000,1.5,1.45,1.45,1.45
2001-01-09,2.75,0.8,,,11280,1.55,1.55,1.55,1.55
2001-01-11,2.75,0.8,,,78665,1.6,1.55,1.6,1.6
2001-01-12,2.75,0.8,,,4434,1.6,1.59,1.6,1.6
2001-01-15,2.75,0.8,,,80000,1.6,1.6,1.6,1.6
2001-01-16,2.75,0.8,,,1000,1.6,1.6,1.6,1.6
2001-01-17,2.75,0.8,,,470300,1.65,1.6,1.6,1.6
2001-01-19,2.75,0.8,,,136722,1.6,1.6,1.6,1.6
2001-01-22,2.75,0.8,,,11000,1.6,1.6,1.6,1.6
2001-01-26,2.75,0.8,,,1476,1.6,1.6,1.6,1.6
2001-01-29,2.75,0.8,,,21600,1.55,1.55,1.55,1.55
2001-02-02,2.75,0.8,,,25600,1.55,1.55,1.55,1.55
2001-02-05,2.75,0.8,,,466,1.55,1.55,1.55,1.55
2001-02-06,2.75,0.8,,,407921,1.6,1.57,1.6,1.6
2001-02-08,2.75,0.8,,,5331,1.6,1.6,1.6,1.6
2001-02-12,2.75,0.8,,,14600,1.7,1.7,1.7,1.7
2001-02-13,2.75,0.8,,,7466,1.7,1.7,1.7,1.7
2001-02-14,2.75,0.8,,,20000,1.75,1.75,1.75,1.75
2001-02-23,2.75,0.8,,,842469,1.73,1.7,1.73,1.73
2001-02-26,2.75,0.8,,,2010000,1.75,1.73,1.75,1.75
2001-02-27,2.75,0.8,,,66666,1.75,1.75,1.75,1.75
2001-03-01,2.75,0.8,,,60000,1.75,1.75,1.75,1.75
2001-03-02,2.75,0.8,,,18385,1.74,1.74,1.74,1.74
2001-03-05,2.75,0.8,,,15000,1.7,1.7,1.7,1.7
2001-03-07,2.75,0.8,,,256615,1.6,1.6,1.6,1.6
2001-03-08,2.75,0.8,,,635000,1.6,1.6,1.6,1.6
2001-03-09,2.75,0.8,,,435704,1.75,1.65,1.75,1.75
2001-03-13,2.75,0.8,,,57500,1.75,1.75,1.75,1.75
2001-03-14,2.75,0.8,,,516430,1.75,1.7,1.75,1.75
2001-03-16,2.75,0.8,,,82880,1.8,1.8,1.8,1.8
2001-03-19,2.75,0.8,,,82000,1.8,1.8,1.8,1.8
2001-03-20,2.75,0.8,,,285120,1.85,1.83,1.85,1.85
2001-03-21,2.75,0.8,,,161180,1.86,1.85,1.86,1.86
2001-03-22,2.75,0.8,,,150000,1.9,1.88,1.9,1.9
2001-03-23,2.75,0.8,,,2200627,2.0,1.81,2.0,2.0
