DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2011-12-05,5.0,1.9,,,0,0.0,0.0,4.55,4.56
2011-12-06,5.0,1.9,,,0,0.0,0.0,4.55,4.56
2011-12-07,5.0,1.9,,,16232,4.3,4.15,4.15,4.24
2011-12-08,5.0,1.9,,,0,0.0,0.0,4.15,4.24
2011-12-09,5.0,1.9,,,0,0.0,0.0,4.15,4.24
2011-12-12,5.0,1.9,,,10000,4.15,4.15,4.15,4.15
2011-12-13,5.0,1.9,,,9390,4.14,4.14,4.14,4.14
2011-12-14,5.0,1.9,,,44583,4.2,4.14,4.2,4.17
2011-12-15,5.0,1.9,,,0,0.0,0.0,4.2,4.17
2011-12-16,5.0,1.9,,,17785,4.17,4.17,4.17,4.17
2011-12-19,5.0,1.9,,,4000,4.75,4.2,4.75,4.34
2011-12-20,5.0,1.9,,,2500,4.2,4.2,4.2,4.2
2011-12-21,5.0,1.9,,,9889,4.2,4.2,4.2,4.2
2011-12-22,5.0,1.9,,,45000,4.5,4.5,4.5,4.5
2011-12-23,5.0,1.9,,,0,0.0,0.0,4.5,4.5
2011-12-28,5.0,1.9,,,7066,4.5,4.5,4.5,4.5
2011-12-29,5.0,1.9,,,0,0.0,0.0,4.5,4.5
2011-12-30,5.0,1.9,,,2070,4.8,4.5,4.8,4.71
2012-01-03,5.0,1.9,0.0350,,5000,4.5,4.5,4.5,4.5
2012-01-04,5.0,1.9,0.0350,,1400,4.66,4.66,4.66,4.66
2012-01-05,5.0,1.9,0.0350,,62510,4.79,3.95,4.79,4.11
2012-01-06,5.0,1.9,0.0350,,0,0.0,0.0,4.79,4.11
2012-01-09,5.0,1.9,0.0350,,0,0.0,0.0,4.79,4.11
2012-01-10,5.0,1.9,0.0350,,102228,4.25,4.1,4.1,4.25
2012-01-11,5.0,1.9,0.0350,,0,0.0,0.0,4.1,4.25
2012-01-12,5.0,1.9,0.0350,,0,0.0,0.0,4.1,4.25
2012-01-13,5.0,1.9,0.0350,,1200,4.1,4.1,4.1,4.1
