DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2001-01-02,3.9,1.49,,,6000,2.47,2.47,2.47,2.47
2001-01-03,3.9,1.49,,,8124,2.49,2.47,2.49,2.49
2001-01-05,3.9,1.49,,,259965,2.49,2.46,2.49,2.49
2001-01-08,3.9,1.49,,,5500,2.5,2.49,2.5,2.5
2001-01-09,3.9,1.49,,,37706,2.6,2.6,2.6,2.6
2001-01-10,3.9,1.49,,,47294,2.6,2.6,2.6,2.6
2001-01-11,3.9,1.49,,,30066,2.6,2.6,2.6,2.6
2001-01-12,3.9,1.49,,,43835,2.7,2.7,2.7,2.7
2001-01-15,3.9,1.49,,,100000,2.7,2.7,2.7,2.7
2001-01-16,3.9,1.49,,,90000,2.7,2.7,2.7,2.7
2001-01-17,3.9,1.49,,,4346,2.7,2.5,2.7,2.7
2001-01-23,3.9,1.49,,,21700,2.61,2.6,2.6,2.6
2001-01-24,3.9,1.49,,,5000,2.69,2.59,2.69,2.69
2001-01-26,3.9,1.49,,,60878,2.69,2.65,2.65,2.65
2001-01-29,3.9,1.49,,,102853,2.6,2.6,2.6,2.6
2001-01-31,3.9,1.49,,,4433,2.5,2.5,2.5,2.5
2001-02-02,3.9,1.49,,,2000,2.51,2.51,2.51,2.51
2001-02-05,3.9,1.49,,,6387,2.5,2.5,2.5,2.5
2001-02-06,3.9,1.49,,,4000,2.5,2.5,2.5,2.5
2001-02-07,3.9,1.49,,,116646,2.6,2.6,2.6,2.6
2001-02-12,3.9,1.49,,,360012,2.6,2.6,2.6,2.6
2001-02-13,3.9,1.49,,,3000,2.6,2.6,2.6,2.6
2001-02-16,3.9,1.49,,,182919,2.61,2.6,2.6,2.6
2001-02-19,3.9,1.49,,,4607,2.6,2.6,2.6,2.6
2001-02-21,3.9,1.49,,,137148,2.6,2.55,2.55,2.55
2001-02-23,3.9,1.49,,,11651,2.55,2.55,2.55,2.55
2001-02-27,3.9,1.49,,,11013,2.7,2.53,2.7,2.7
2001-03-01,3.9,1.49,,,55000,2.7,2.7,2.7,2.7
2001-03-02,3.9,1.49,,,3100,2.7,2.7,2.7,2.7
2001-03-05,3.9,1.49,,,2533,2.7,2.7,2.7,2.7
2001-03-06,3.9,1.49,,,137744,2.72,2.71,2.72,2.72
2001-03-07,3.9,1.49,,,1000,2.8,2.8,2.8,2.8
2001-03-08,3.9,1.49,,,14874,3.1,3.1,3.1,3.1
2001-03-13,3.9,1.49,,,12000,3.0,3.0,3.0,3.0
2001-03-16,3.9,1.49,,,59000,2.95,2.94,2.95,2.95
2001-03-19,3.9,1.49,,,71729,2.9,2.9,2.9,2.9
2001-03-20,3.9,1.49,,,25092,2.85,2.8,2.8,2.8
2001-03-21,3.9,1.49,,,500,2.8,2.8,2.8,2.8
2001-03-23,3.9,1.49,,,15000,2.8,2.8,2.8,2.8
2001-03-28,3.9,1.49,,,5000,2.85,2.85,2.85,2.85
2001-03-29,3.9,1.49,,,52786,3.0,3.0,3.0,3.0
2001-03-30,3.9,1.49,,,106857,3.45,3.2,3.45,3.45
2001-04-03,3.9,1.49,,,50000,3.5,3.5,3.5,3.5
2001-04-04,3.9,1.49,,,1243,3.5,3.5,3.5,3.5
2001-04-06,3.9,1.49,,,5000,3.5,3.5,3.5,3.5
2001-04-09,3.9,1.49,,,15000,3.5,3.5,3.5,3.5
2001-04-10,3.9,1.49,,,2533,3.5,3.5,3.5,3.5
2001-04-11,3.9,1.49,,,20000,3.5,3.5,3.5,3.5
2001-04-18,3.9,1.49,,,1265,3.45,3.45,3.45,3.45
2001-04-20,3.9,1.49,,,760,3.5,3.5,3.5,3.5
2001-04-24,3.9,1.49,,,24975,3.6,3.5,3.5,3.5
2001-04-25,3.9,1.49,,,2533,3.5,3.5,3.5,3.5
2001-04-26,3.9,1.49,,,287973,3.5,3.5,3.5,3.5
2001-04-27,3.9,1.49,,,15000,3.6,3.6,3.6,3.6
2001-05-03,3.9,1.49,,,13738,3.6,3.6,3.6,3.6
2001-05-04,3.9,1.49,,,63494,3.6,3.5,3.5,3.5
2001-05-07,3.9,1.49,,,152659,3.8,3.6,3.8,3.8
2001-05-10,3.9,1.49,,,3774,3.8,3.8,3.8,3.8
2001-05-11,3.9,1.49,,,22533,3.7,3.7,3.7,3.7
2001-05-14,3.9,1.49,,,17467,3.7,3.7,3.7,3.7
2001-05-15,3.9,1.49,,,200000,3.6,3.45,3.45,3.45
2001-05-17,3.9,1.49,,,88759,3.5,3.5,3.5,3.5
2001-05-18,3.9,1.49,,,5000,3.51,3.51,3.51,3.51
2001-05-21,3.9,1.49,,,10000,3.56,3.56,3.56,3.56
2001-05-24,3.9,1.49,,,17561,3.6,3.6,3.6,3.6
2001-05-25,3.9,1.49,,,62533,3.75,3.64,3.75,3.75
