DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2001-01-02,2.0,0.13,,,283257,1.88,1.72,1.88,1.88
2001-01-04,2.0,0.13,,,170300,1.75,1.74,1.75,1.75
2001-01-05,2.0,0.13,,,91763,1.75,1.7,1.75,1.75
2001-01-09,2.0,0.13,,,20234,1.76,1.76,1.76,1.76
2001-01-10,2.0,0.13,,,158700,1.76,1.75,1.76,1.76
2001-01-11,2.0,0.13,,,19483,1.76,1.75,1.75,1.75
2001-01-12,2.0,0.13,,,76516,1.75,1.73,1.75,1.75
2001-01-16,2.0,0.13,,,125000,1.72,1.7,1.7,1.7
2001-01-17,2.0,0.13,,,33484,1.7,1.7,1.7,1.7
2001-01-18,2.0,0.13,,,175150,1.71,1.68,1.68,1.68
2001-01-19,2.0,0.13,,,10000,1.68,1.68,1.68,1.68
2001-01-22,2.0,0.13,,,221000,1.7,1.7,1.7,1.7
2001-01-24,2.0,0.13,,,80000,1.7,1.7,1.7,1.7
2001-01-25,2.0,0.13,,,140000,1.7,1.7,1.7,1.7
2001-01-26,2.0,0.13,,,3737,1.7,1.7,1.7,1.7
2001-01-29,2.0,0.13,,,29779,1.68,1.68,1.68,1.68
2001-01-30,2.0,0.13,,,379545,1.68,1.65,1.65,1.65
2001-01-31,2.0,0.13,,,945,1.65,1.65,1.65,1.65
2001-02-01,2.0,0.13,,,58117,1.65,1.65,1.65,1.65
2001-02-02,2.0,0.13,,,188582,1.7,1.65,1.7,1.7
2001-02-05,2.0,0.13,,,25088,1.7,1.66,1.66,1.66
2001-02-06,2.0,0.13,,,470384,1.65,1.6,1.65,1.65
2001-02-07,2.0,0.13,,,69217,1.64,1.64,1.64,1.64
2001-02-08,2.0,0.13,,,243173,1.62,1.6,1.6,1.6
2001-02-09,2.0,0.13,,,152155,1.6,1.6,1.6,1.6
2001-02-12,2.0,0.13,,,416336,1.6,1.6,1.6,1.6
2001-02-13,2.0,0.13,,,513847,1.6,1.55,1.6,1.6
2001-02-14,2.0,0.13,,,59736,1.6,1.6,1.6,1.6
2001-02-15,2.0,0.13,,,987342,1.61,1.6,1.6,1.6
2001-02-16,2.0,0.13,,,133243,1.65,1.6,1.65,1.65
2001-02-19,2.0,0.13,,,29005,1.66,1.66,1.66,1.66
2001-02-20,2.0,0.13,,,444732,1.72,1.7,1.72,1.72
2001-02-21,2.0,0.13,,,31199,1.72,1.72,1.72,1.72
2001-02-22,2.0,0.13,,,153500,1.7,1.7,1.7,1.7
2001-02-23,2.0,0.13,,,2479,1.69,1.69,1.69,1.69
2001-02-26,2.0,0.13,,,49390,1.69,1.68,1.69,1.69
2001-02-27,2.0,0.13,,,132301,1.7,1.69,1.69,1.69
2001-03-01,2.0,0.13,,,92655,1.7,1.69,1.7,1.7
2001-03-02,2.0,0.13,,,168485,1.7,1.69,1.7,1.7
2001-03-05,2.0,0.13,,,256774,1.7,1.69,1.7,1.7
2001-03-06,2.0,0.13,,,1266157,1.7,1.69,1.7,1.7
2001-03-07,2.0,0.13,,,304615,1.7,1.69,1.7,1.7
2001-03-08,2.0,0.13,,,15483,1.69,1.69,1.69,1.69
2001-03-09,2.0,0.13,,,431619,1.72,1.69,1.7,1.7
2001-03-12,2.0,0.13,,,138246,1.71,1.7,1.7,1.7
2001-03-13,2.0,0.13,,,764759,1.7,1.69,1.69,1.69
2001-03-14,2.0,0.13,,,104000,1.7,1.67,1.7,1.7
2001-03-15,2.0,0.13,,,386260,1.7,1.69,1.7,1.7
2001-03-16,2.0,0.13,,,33500,1.65,1.65,1.65,1.65
2001-03-19,2.0,0.13,,,142000,1.66,1.66,1.66,1.66
2001-03-20,2.0,0.13,,,86068,1.67,1.66,1.67,1.67
2001-03-21,2.0,0.13,,,1196049,1.69,1.69,1.69,1.69
2001-03-22,2.0,0.13,,,223336,1.69,1.68,1.69,1.69
2001-03-23,2.0,0.13,,,251645,1.69,1.69,1.69,1.69
2001-03-26,2.0,0.13,,,39561,1.69,1.69,1.69,1.69
2001-03-27,2.0,0.13,,,676300,1.7,1.7,1.7,1.7
2001-03-28,2.0,0.13,,,1690254,1.75,1.7,1.7,1.7
2001-03-29,2.0,0.13,,,728050,1.8,1.7,1.8,1.8
2001-03-30,2.0,0.13,,,1551188,1.89,1.8,1.84,1.84
2001-04-02,2.0,0.13,,,1406089,1.8,1.8,1.8,1.8
2001-04-03,2.0,0.13,,,1951839,1.83,1.81,1.83,1.83
2001-04-04,2.0,0.13,,,331279,1.82,1.8,1.8,1.8
2001-04-05,2.0,0.13,,,125000,1.8,1.8,1.8,1.8
2001-04-06,2.0,0.13,,,5500,1.8,1.8,1.8,1.8
2001-04-09,2.0,0.13,,,53833,1.8,1.79,1.79,1.79
2001-04-10,2.0,0.13,,,1028000,1.79,1.79,1.79,1.79
2001-04-11,2.0,0.13,,,104800,1.79,1.79,1.79,1.79
2001-04-12,2.0,0.13,,,702290,1.79,1.79,1.79,1.79
2001-04-17,2.0,0.13,,,1653154,1.8,1.78,1.8,1.8
2001-04-18,2.0,0.13,,,2478067,1.81,1.8,1.8,1.8
2001-04-19,2.0,0.13,,,723602,1.8,1.8,1.8,1.8
2001-04-20,2.0,0.13,,,421576,1.83,1.81,1.83,1.83
2001-04-23,2.0,0.13,,,1296050,1.83,1.83,1.83,1.83
2001-04-24,2.0,0.13,,,755998,1.85,1.81,1.81,1.81
2001-04-25,2.0,0.13,,,150000,1.81,1.81,1.81,1.81
2001-04-26,2.0,0.13,,,150000,1.8,1.79,1.8,1.8
2001-04-27,2.0,0.13,,,267525,1.79,1.78,1.78,1.78
2001-04-30,2.0,0.13,,,341166,1.78,1.76,1.78,1.78
2001-05-02,2.0,0.13,,,881364,1.76,1.7,1.7,1.7
2001-05-03,2.0,0.13,,,171860,1.67,1.64,1.64,1.64
2001-05-04,2.0,0.13,,,179361,1.67,1.64,1.67,1.67
2001-05-07,2.0,0.13,,,490486,1.7,1.67,1.7,1.7
2001-05-08,2.0,0.13,,,135291,1.7,1.69,1.69,1.69
2001-05-09,2.0,0.13,,,11581,1.69,1.69,1.69,1.69
2001-05-10,2.0,0.13,,,263747,1.7,1.7,1.7,1.7
2001-05-11,2.0,0.13,,,106294,1.7,1.7,1.7,1.7
2001-05-14,2.0,0.13,,,603000,1.68,1.68,1.68,1.68
2001-05-15,2.0,0.13,,,215437,1.65,1.65,1.65,1.65
2001-05-16,2.0,0.13,,,50000,1.64,1.64,1.64,1.64
2001-05-17,2.0,0.13,,,523351,1.62,1.6,1.6,1.6
2001-05-18,2.0,0.13,,,241437,1.6,1.6,1.6,1.6
2001-05-21,2.0,0.13,,,54733,1.6,1.6,1.6,1.6
2001-05-22,2.0,0.13,,,304102,1.64,1.6,1.64,1.64
2001-05-24,2.0,0.13,,,1772472,1.61,1.6,1.6,1.6
2001-05-25,2.0,0.13,,,68867,1.61,1.6,1.61,1.61
2001-05-28,2.0,0.13,,,122045,1.65,1.61,1.65,1.65
2001-05-30,2.0,0.13,,,694911,1.85,1.72,1.85,1.85
2001-05-31,2.0,0.13,,,155332,1.95,1.86,1.9,1.9
2001-06-01,2.0,0.13,,,1202765,2.0,1.91,1.91,1.91
2001-06-04,2.0,0.13,,,320724,1.91,1.9,1.9,1.9
2001-06-05,2.0,0.13,,,440546,1.95,1.9,1.9,1.9
2001-06-06,2.0,0.13,,,70000,1.9,1.9,1.9,1.9
2001-06-07,2.0,0.13,,,85000,1.9,1.89,1.9,1.9
2001-06-08,2.0,0.13,,,1273731,1.9,1.9,1.9,1.9
2001-06-11,2.0,0.13,,,102756,1.95,1.91,1.95,1.95
2001-06-12,2.0,0.13,,,1640244,1.98,1.95,1.95,1.95
2001-06-13,2.0,0.13,,,1081009,1.95,1.95,1.95,1.95
2001-06-14,2.0,0.13,,,1131713,1.98,1.95,1.95,1.95
2001-06-15,2.0,0.13,,,98486,1.98,1.98,1.98,1.98
2001-06-18,2.0,0.13,,,414636,2.2,1.99,2.0,2.0
2001-06-19,2.0,0.13,,,5294364,2.15,2.15,2.15,2.15
2001-06-20,2.0,0.13,,,2629014,2.35,2.2,2.35,2.35
2001-06-21,2.0,0.13,,,6834734,2.7,2.4,2.7,2.7
2001-06-22,2.0,0.13,,,439452,2.75,2.66,2.66,2.66
2001-06-25,2.0,0.13,,,923301,2.6,2.56,2.6,2.6
2001-06-26,2.0,0.13,,,582316,2.6,2.45,2.5,2.5
2001-06-27,2.0,0.13,,,103420,2.5,2.4,2.4,2.4
2001-06-28,2.0,0.13,,,34163,2.4,2.39,2.39,2.39
2001-06-29,2.0,0.13,,,230367,2.3,2.29,2.3,2.3
2001-07-02,2.0,0.13,,,500978,2.2,2.2,2.2,2.2
2001-07-03,2.0,0.13,,,1302196,2.15,1.95,2.0,2.0
2001-07-04,2.0,0.13,,,829395,2.0,1.95,2.0,2.0
2001-07-05,2.0,0.13,,,287450,1.95,1.94,1.95,1.95
2001-07-06,2.0,0.13,,,577475,1.9,1.9,1.9,1.9
2001-07-09,2.0,0.13,,,132297,1.9,1.9,1.9,1.9
2001-07-11,2.0,0.13,,,384863,2.0,1.9,2.0,2.0
2001-07-12,2.0,0.13,,,662446,1.95,1.86,1.95,1.95
2001-07-13,2.0,0.13,,,362471,1.95,1.9,1.9,1.9
2001-07-17,2.0,0.13,,,2449015,1.98,1.9,1.9,1.9
2001-07-18,2.0,0.13,,,935261,1.9,1.9,1.9,1.9
2001-07-19,2.0,0.13,,,2649993,1.98,1.9,1.9,1.9
2001-07-20,2.0,0.13,,,1547993,1.9,1.9,1.9,1.9
2001-07-23,2.0,0.13,,,2204183,1.9,1.86,1.9,1.9
2001-07-24,2.0,0.13,,,1689609,1.95,1.94,1.95,1.95
2001-07-25,2.0,0.13,,,231751,1.98,1.95,1.98,1.98
2001-07-26,2.0,0.13,,,571041,1.98,1.9,1.9,1.9
2001-07-27,2.0,0.13,,,2105,1.9,1.9,1.9,1.9
2001-07-30,2.0,0.13,,,802344,1.9,1.88,1.9,1.9
2001-07-31,2.0,0.13,,,135895,1.9,1.9,1.9,1.9
2001-08-02,2.0,0.13,,,69400,1.9,1.9,1.9,1.9
2001-08-03,2.0,0.13,,,744920,1.9,1.9,1.9,1.9
2001-08-07,2.0,0.13,,,482100,1.9,1.89,1.89,1.89
2001-08-08,2.0,0.13,,,155000,1.9,1.89,1.9,1.9
2001-08-09,2.0,0.13,,,200000,1.9,1.9,1.9,1.9
2001-08-10,2.0,0.13,,,371214,1.89,1.88,1.88,1.88
2001-08-13,2.0,0.13,,,63423,1.88,1.86,1.86,1.86
2001-08-14,2.0,0.13,,,593289,1.86,1.8,1.8,1.8
2001-08-15,2.0,0.13,,,102140,1.75,1.75,1.75,1.75
2001-08-16,2.0,0.13,,,43117,1.8,1.75,1.8,1.8
2001-08-17,2.0,0.13,,,71494,1.8,1.75,1.8,1.8
2001-08-20,2.0,0.13,,,209500,1.79,1.78,1.78,1.78
2001-08-21,2.0,0.13,,,83977,1.78,1.78,1.78,1.78
2001-08-22,2.0,0.13,,,139758,1.76,1.75,1.75,1.75
2001-08-23,2.0,0.13,,,243067,1.75,1.75,1.75,1.75
2001-08-24,2.0,0.13,,,432853,1.76,1.75,1.76,1.76
2001-08-27,2.0,0.13,,,176765,1.76,1.75,1.75,1.75
2001-08-28,2.0,0.13,,,106194,1.76,1.75,1.75,1.75
2001-08-29,2.0,0.13,,,790793,1.75,1.75,1.75,1.75
2001-08-31,2.0,0.13,,,54198,1.75,1.75,1.75,1.75
2001-09-03,2.0,0.13,,,173290,1.75,1.7,1.7,1.7
2001-09-04,2.0,0.13,,,77878,1.69,1.69,1.69,1.69
2001-09-05,2.0,0.13,,,160380,1.65,1.6,1.6,1.6
2001-09-06,2.0,0.13,,,154449,1.6,1.6,1.6,1.6
2001-09-07,2.0,0.13,,,241366,1.61,1.6,1.6,1.6
2001-09-10,2.0,0.13,,,101464,1.63,1.6,1.63,1.63
2001-09-11,2.0,0.13,,,117860,1.63,1.63,1.63,1.63
2001-09-12,2.0,0.13,,,49343,1.63,1.63,1.63,1.63
2001-09-13,2.0,0.13,,,337834,1.63,1.6,1.61,1.61
2001-09-14,2.0,0.13,,,228905,1.6,1.6,1.6,1.6
2001-09-17,2.0,0.13,,,109460,1.56,1.56,1.56,1.56
2001-09-18,2.0,0.13,,,216893,1.56,1.5,1.51,1.51
2001-09-19,2.0,0.13,,,847747,1.52,1.45,1.5,1.5
2001-09-20,2.0,0.13,,,540666,1.5,1.45,1.45,1.45
2001-09-24,2.0,0.13,,,117671,1.45,1.45,1.45,1.45
2001-09-25,2.0,0.13,,,606101,1.45,1.44,1.45,1.45
2001-09-26,2.0,0.13,,,605973,1.46,1.45,1.45,1.45
2001-09-27,2.0,0.13,,,133174,1.49,1.45,1.49,1.49
2001-09-28,2.0,0.13,,,1448928,1.6,1.46,1.6,1.6
2001-10-01,2.0,0.13,,,10000,1.59,1.58,1.59,1.59
2001-10-02,2.0,0.13,,,2416483,1.59,1.5,1.5,1.5
2001-10-03,2.0,0.13,,,46192,1.49,1.46,1.49,1.49
2001-10-04,2.0,0.13,,,24956,1.49,1.49,1.49,1.49
2001-10-05,2.0,0.13,,,48920,1.49,1.49,1.49,1.49
2001-10-09,2.0,0.13,,,1505,1.49,1.49,1.49,1.49
2001-10-10,2.0,0.13,,,1477414,1.48,1.46,1.48,1.48
2001-10-11,2.0,0.13,,,3652533,1.5,1.45,1.5,1.5
2001-10-12,2.0,0.13,,,287673,1.5,1.5,1.5,1.5
2001-10-16,2.0,0.13,,,680557,1.51,1.5,1.5,1.5
2001-10-17,2.0,0.13,,,533163,1.5,1.5,1.5,1.5
2001-10-18,2.0,0.13,,,192104,1.5,1.48,1.5,1.5
2001-10-19,2.0,0.13,,,250313,1.5,1.5,1.5,1.5
2001-10-22,2.0,0.13,,,1705000,1.5,1.49,1.5,1.5
2001-10-23,2.0,0.13,,,190000,1.5,1.5,1.5,1.5
2001-10-24,2.0,0.13,,,601840,1.5,1.49,1.5,1.5
2001-10-25,2.0,0.13,,,240000,1.5,1.49,1.5,1.5
2001-10-26,2.0,0.13,,,1738893,1.5,1.49,1.49,1.49
2001-10-29,2.0,0.13,,,46000,1.5,1.49,1.5,1.5
2001-10-30,2.0,0.13,,,862046,1.5,1.49,1.5,1.5
2001-10-31,2.0,0.13,,,1045430,1.49,1.49,1.49,1.49
2001-11-01,2.0,0.13,,,695557,1.5,1.5,1.5,1.5
2001-11-02,2.0,0.13,,,1236500,1.5,1.49,1.5,1.5
2001-11-05,2.0,0.13,,,201333,1.5,1.5,1.5,1.5
2001-11-06,2.0,0.13,,,1742839,1.5,1.49,1.49,1.49
2001-11-07,2.0,0.13,,,219951,1.49,1.48,1.49,1.49
2001-11-08,2.0,0.13,,,158000,1.5,1.49,1.49,1.49
2001-11-09,2.0,0.13,,,378808,1.5,1.49,1.5,1.5
2001-11-12,2.0,0.13,,,55780,1.5,1.5,1.5,1.5
2001-11-13,2.0,0.13,,,579239,1.69,1.49,1.49,1.49
2001-11-14,2.0,0.13,,,977030,1.6,1.52,1.6,1.6
2001-11-15,2.0,0.13,,,42399,1.4,1.3,1.3,1.3
2001-11-16,2.0,0.13,,,152052,1.35,1.32,1.35,1.35
2001-11-19,2.0,0.13,,,29114,1.4,1.4,1.4,1.4
2001-11-20,2.0,0.13,,,332750,1.5,1.4,1.49,1.49
2001-11-21,2.0,0.13,,,357043,1.6,1.49,1.6,1.6
2001-11-22,2.0,0.13,,,72000,1.6,1.55,1.6,1.6
2001-11-23,2.0,0.13,,,140650,1.5,1.5,1.5,1.5
2001-11-29,2.0,0.13,,,359481,1.5,1.4,1.5,1.5
2001-11-30,2.0,0.13,,,111682,1.48,1.45,1.48,1.48
2001-12-03,2.0,0.13,,,133860,1.46,1.45,1.46,1.46
2001-12-04,2.0,0.13,,,195533,1.45,1.45,1.45,1.45
2001-12-05,2.0,0.13,,,8771,1.5,1.45,1.5,1.5
2001-12-06,2.0,0.13,,,200197,1.5,1.49,1.5,1.5
2001-12-07,2.0,0.13,,,115625,1.5,1.45,1.45,1.45
2001-12-10,2.0,0.13,,,1893477,1.5,1.49,1.5,1.5
2001-12-11,2.0,0.13,,,63891,1.45,1.4,1.4,1.4
2001-12-12,2.0,0.13,,,2313,1.4,1.4,1.4,1.4
2001-12-14,2.0,0.13,,,201965,1.4,1.4,1.4,1.4
2001-12-17,2.0,0.13,,,161428,1.4,1.4,1.4,1.4
