DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2001-01-02,26.5,0.59,,,13518,2.6,2.6,2.6,2.6
2001-01-03,26.5,0.59,,,25291,2.35,2.2,2.2,2.2
2001-01-05,26.5,0.59,,,13375,2.21,2.2,2.2,2.2
2001-01-08,26.5,0.59,,,52950,2.2,2.2,2.2,2.2
2001-01-09,26.5,0.59,,,58441,2.21,2.2,2.2,2.2
2001-01-11,26.5,0.59,,,67200,2.28,2.21,2.28,2.28
2001-01-12,26.5,0.59,,,1140283,2.5,2.36,2.5,2.5
2001-01-15,26.5,0.59,,,17875,2.51,2.5,2.51,2.51
2001-01-16,26.5,0.59,,,60276,2.6,2.51,2.6,2.6
2001-01-18,26.5,0.59,,,37000,2.7,2.7,2.7,2.7
2001-01-22,26.5,0.59,,,10500,2.7,2.7,2.7,2.7
2001-01-23,26.5,0.59,,,4000,2.69,2.69,2.69,2.69
2001-01-25,26.5,0.59,,,10533,2.65,2.65,2.65,2.65
2001-01-26,26.5,0.59,,,55000,2.7,2.7,2.7,2.7
2001-01-30,26.5,0.59,,,68467,2.68,2.65,2.65,2.65
2001-02-01,26.5,0.59,,,65000,2.6,2.6,2.6,2.6
2001-02-05,26.5,0.59,,,20000,2.5,2.5,2.5,2.5
2001-02-09,26.5,0.59,,,13331,2.25,2.12,2.12,2.12
2001-02-12,26.5,0.59,,,17855,2.25,2.25,2.25,2.25
2001-02-13,26.5,0.59,,,3833,2.3,2.25,2.3,2.3
2001-02-14,26.5,0.59,,,17167,2.25,2.25,2.25,2.25
2001-02-15,26.5,0.59,,,1494,2.3,2.3,2.3,2.3
2001-02-16,26.5,0.59,,,47506,2.3,2.3,2.3,2.3
2001-02-20,26.5,0.59,,,50000,2.3,2.3,2.3,2.3
2001-02-21,26.5,0.59,,,105000,2.4,2.3,2.4,2.4
2001-02-23,26.5,0.59,,,65061,2.45,2.4,2.45,2.45
2001-02-26,26.5,0.59,,,57500,2.35,2.35,2.35,2.35
2001-02-27,26.5,0.59,,,35000,2.6,2.36,2.6,2.6
2001-03-01,26.5,0.59,,,335571,2.8,2.6,2.8,2.8
2001-03-02,26.5,0.59,,,156856,2.85,2.84,2.85,2.85
2001-03-05,26.5,0.59,,,30000,2.85,2.85,2.85,2.85
2001-03-06,26.5,0.59,,,484419,2.87,2.85,2.87,2.87
2001-03-07,26.5,0.59,,,15000,2.9,2.87,2.9,2.9
2001-03-15,26.5,0.59,,,123361,3.0,2.8,3.0,3.0
2001-03-23,26.5,0.59,,,20083,3.0,2.9,3.0,3.0
2001-03-26,26.5,0.59,,,17917,3.0,3.0,3.0,3.0
2001-03-30,26.5,0.59,,,25866,3.01,3.0,3.01,3.01
2001-04-03,26.5,0.59,,,147789,3.01,3.0,3.0,3.0
2001-04-05,26.5,0.59,,,33550,2.99,2.95,2.95,2.95
2001-04-06,26.5,0.59,,,25000,2.95,2.95,2.95,2.95
2001-04-10,26.5,0.59,,,30000,2.95,2.95,2.95,2.95
2001-04-11,26.5,0.59,,,135802,2.94,2.9,2.94,2.94
2001-04-20,26.5,0.59,,,201417,2.95,2.95,2.95,2.95
2001-04-23,26.5,0.59,,,8000,2.96,2.95,2.96,2.96
2001-04-24,26.5,0.59,,,12812,2.95,2.95,2.95,2.95
2001-04-26,26.5,0.59,,,32336,2.95,2.95,2.95,2.95
2001-04-27,26.5,0.59,,,133964,3.0,2.95,3.0,3.0
2001-04-30,26.5,0.59,,,750,3.0,3.0,3.0,3.0
2001-05-14,26.5,0.59,,,10000,2.88,2.88,2.88,2.88
2001-05-16,26.5,0.59,,,1500,2.85,2.85,2.85,2.85
2001-05-17,26.5,0.59,,,108341,2.85,2.85,2.85,2.85
2001-05-28,26.5,0.59,,,18000,2.8,2.8,2.8,2.8
2001-05-31,26.5,0.59,,,50000,2.79,2.78,2.78,2.78
2001-06-01,26.5,0.59,,,38375,2.75,2.75,2.75,2.75
2001-06-04,26.5,0.59,,,100,2.75,2.75,2.75,2.75
2001-06-06,26.5,0.59,,,94152,2.88,2.7,2.88,2.88
2001-06-07,26.5,0.59,,,212186,3.0,3.0,3.0,3.0
2001-06-08,26.5,0.59,,,610296,3.31,3.15,3.31,3.31
2001-06-11,26.5,0.59,,,172636,3.5,3.4,3.5,3.5
2001-06-12,26.5,0.59,,,1311,3.5,3.5,3.5,3.5
2001-06-13,26.5,0.59,,,31000,3.5,3.5,3.5,3.5
2001-06-14,26.5,0.59,,,1700,3.45,3.45,3.45,3.45
2001-06-15,26.5,0.59,,,192300,3.21,3.2,3.2,3.2
2001-06-18,26.5,0.59,,,9250,3.2,3.2,3.2,3.2
2001-06-19,26.5,0.59,,,635000,3.2,3.2,3.2,3.2
