DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2001-01-02,67.1,33.0,,,2500,33.0,33.0,33.0,33.0
2001-01-03,67.1,33.0,,,5500,33.0,33.0,33.0,33.0
2001-01-05,67.1,33.0,,,2620,32.0,31.51,31.51,31.51
2001-01-09,67.1,33.0,,,6832,31.5,31.5,31.5,31.5
2001-01-10,67.1,33.0,,,29664,31.5,31.04,31.5,31.5
2001-01-11,67.1,33.0,,,354,31.5,31.5,31.5,31.5
2001-01-12,67.1,33.0,,,10364,31.5,31.3,31.3,31.3
2001-01-17,67.1,33.0,,,52378,31.5,31.4,31.5,31.5
2001-01-18,67.1,33.0,,,68603,31.5,31.5,31.5,31.5
2001-01-19,67.1,33.0,,,43917,31.5,31.5,31.5,31.5
2001-01-22,67.1,33.0,,,10000,31.5,31.5,31.5,31.5
2001-01-23,67.1,33.0,,,108429,31.5,31.5,31.5,31.5
2001-01-25,67.1,33.0,,,1000,32.0,32.0,32.0,32.0
2001-01-26,67.1,33.0,,,10353,33.0,32.0,33.0,33.0
2001-01-29,67.1,33.0,,,5000,32.0,32.0,32.0,32.0
2001-01-30,67.1,33.0,,,1290,32.02,32.02,32.02,32.02
2001-01-31,67.1,33.0,,,38059,33.0,32.5,33.0,33.0
2001-02-01,67.1,33.0,,,46824,33.0,33.0,33.0,33.0
2001-02-02,67.1,33.0,,,4500,33.0,33.0,33.0,33.0
2001-02-05,67.1,33.0,,,950,33.0,33.0,33.0,33.0
2001-02-06,67.1,33.0,,,3682,33.0,33.0,33.0,33.0
2001-02-07,67.1,33.0,,,26496,33.0,33.0,33.0,33.0
2001-02-08,67.1,33.0,,,35000,32.5,32.05,32.05,32.05
2001-02-09,67.1,33.0,,,38772,32.05,32.0,32.0,32.0
2001-02-13,67.1,33.0,,,8340,31.0,31.0,31.0,31.0
2001-02-15,67.1,33.0,,,3736,31.0,30.5,30.5,30.5
2001-02-16,67.1,33.0,,,220531,31.0,30.5,31.0,31.0
2001-02-19,67.1,33.0,,,42480,30.0,30.0,30.0,30.0
2001-02-22,67.1,33.0,,,1000,30.01,30.01,30.01,30.01
2001-02-26,67.1,33.0,,,700,30.1,30.1,30.1,30.1
2001-02-27,67.1,33.0,,,141239,30.55,30.0,30.0,30.0
2001-03-01,67.1,33.0,,,8295,30.01,30.01,30.01,30.01
2001-03-05,67.1,33.0,,,33275,30.0,30.0,30.0,30.0
2001-03-06,67.1,33.0,,,58663,30.0,30.0,30.0,30.0
2001-03-07,67.1,33.0,,,2916,30.0,30.0,30.0,30.0
2001-03-08,67.1,33.0,,,252858,30.0,30.0,30.0,30.0
2001-03-12,67.1,33.0,,,2000,30.01,30.0,30.0,30.0
2001-03-13,67.1,33.0,,,2650,30.01,30.01,30.01,30.01
2001-03-14,67.1,33.0,,,21168,30.01,29.99,30.0,30.0
2001-03-15,67.1,33.0,,,66500,30.0,30.0,30.0,30.0
2001-03-19,67.1,33.0,,,12822,30.0,30.0,30.0,30.0
2001-03-20,67.1,33.0,,,7000,30.0,30.0,30.0,30.0
2001-03-21,67.1,33.0,,,78719,30.0,30.0,30.0,30.0
2001-03-22,67.1,33.0,,,120688,31.0,30.9,31.0,31.0
2001-03-23,67.1,33.0,,,10152,32.0,32.0,32.0,32.0
2001-03-26,67.1,33.0,,,99228,32.0,32.0,32.0,32.0
2001-03-27,67.1,33.0,,,75307,32.1,32.0,32.1,32.1
2001-03-28,67.1,33.0,,,1500,32.2,32.2,32.2,32.2
2001-03-29,67.1,33.0,,,319686,35.0,32.2,35.0,35.0
2001-03-30,67.1,33.0,,,98870,34.0,34.0,34.0,34.0
2001-04-03,67.1,33.0,,,202664,35.0,34.5,34.5,34.5
2001-04-04,67.1,33.0,,,26500,34.19,34.0,34.0,34.0
2001-04-05,67.1,33.0,,,17093,33.0,33.0,33.0,33.0
2001-04-06,67.1,33.0,,,1450,34.0,34.0,34.0,34.0
2001-04-11,67.1,33.0,,,13748,33.0,33.0,33.0,33.0
2001-04-12,67.1,33.0,,,7510,33.0,33.0,33.0,33.0
2001-04-17,67.1,33.0,,,8010,33.5,33.5,33.5,33.5
