DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2001-01-05,0.29,0.02,,,69300,0.2,0.2,0.2,0.2
2001-01-08,0.29,0.02,,,5000,0.19,0.19,0.19,0.19
2001-01-16,0.29,0.02,,,3474,0.19,0.19,0.19,0.19
2001-01-18,0.29,0.02,,,109078,0.2,0.19,0.2,0.2
2001-01-19,0.29,0.02,,,45892,0.2,0.2,0.2,0.2
2001-01-22,0.29,0.02,,,75108,0.2,0.2,0.2,0.2
2001-01-23,0.29,0.02,,,432892,0.21,0.2,0.2,0.2
2001-01-24,0.29,0.02,,,1000,0.23,0.23,0.23,0.23
2001-01-25,0.29,0.02,,,85000,0.25,0.25,0.25,0.25
2001-01-26,0.29,0.02,,,98375,0.28,0.26,0.28,0.28
2001-01-29,0.29,0.02,,,341143,0.3,0.25,0.25,0.25
2001-02-01,0.29,0.02,,,115000,0.23,0.22,0.22,0.22
2001-02-02,0.29,0.02,,,111800,0.25,0.24,0.25,0.25
2001-02-07,0.29,0.02,,,50000,0.25,0.25,0.25,0.25
2001-02-08,0.29,0.02,,,72200,0.25,0.21,0.21,0.21
2001-02-12,0.29,0.02,,,42500,0.21,0.21,0.21,0.21
2001-02-16,0.29,0.02,,,276800,0.25,0.25,0.25,0.25
2001-03-01,0.29,0.02,,,58662,0.26,0.25,0.26,0.26
2001-03-02,0.29,0.02,,,18000,0.26,0.26,0.26,0.26
2001-03-07,0.29,0.02,,,45368,0.27,0.27,0.27,0.27
2001-03-12,0.29,0.02,,,167000,0.3,0.3,0.3,0.3
2001-03-13,0.29,0.02,,,337000,0.3,0.3,0.3,0.3
2001-03-19,0.29,0.02,,,57000,0.3,0.3,0.3,0.3
2001-03-22,0.29,0.02,,,50000,0.29,0.29,0.29,0.29
2001-03-23,0.29,0.02,,,11800,0.27,0.27,0.27,0.27
2001-03-28,0.29,0.02,,,58200,0.3,0.3,0.3,0.3
2001-03-30,0.29,0.02,,,15975,0.3,0.3,0.3,0.3
2001-04-02,0.29,0.02,,,100000,0.31,0.3,0.3,0.3
2001-04-04,0.29,0.02,,,59000,0.3,0.3,0.3,0.3
2001-04-17,0.29,0.02,,,59000,0.38,0.38,0.38,0.38
2001-04-20,0.29,0.02,,,3618,0.36,0.36,0.36,0.36
2001-04-25,0.29,0.02,,,34836,0.35,0.35,0.35,0.35
2001-04-26,0.29,0.02,,,27000,0.32,0.32,0.32,0.32
2001-05-03,0.29,0.02,,,451923,0.26,0.25,0.25,0.25
2001-05-04,0.29,0.02,,,20000,0.22,0.22,0.22,0.22
2001-05-07,0.29,0.02,,,350179,0.21,0.2,0.2,0.2
2001-05-08,0.29,0.02,,,188999,0.2,0.2,0.2,0.2
2001-05-10,0.29,0.02,,,7448,0.2,0.2,0.2,0.2
2001-05-11,0.29,0.02,,,20000,0.22,0.22,0.22,0.22
2001-05-14,0.29,0.02,,,62000,0.22,0.22,0.22,0.22
2001-05-15,0.29,0.02,,,1314553,0.22,0.2,0.2,0.2
2001-05-16,0.29,0.02,,,410400,0.2,0.2,0.2,0.2
2001-05-17,0.29,0.02,,,1831481,0.2,0.2,0.2,0.2
2001-05-18,0.29,0.02,,,165100,0.2,0.2,0.2,0.2
2001-05-22,0.29,0.02,,,869063,0.2,0.2,0.2,0.2
2001-05-24,0.29,0.02,,,2200000,0.2,0.2,0.2,0.2
2001-05-25,0.29,0.02,,,9800,0.2,0.2,0.2,0.2
2001-05-28,0.29,0.02,,,290200,0.2,0.2,0.2,0.2
2001-05-31,0.29,0.02,,,191433,0.23,0.2,0.2,0.2
2001-06-05,0.29,0.02,,,100,0.24,0.24,0.24,0.24
2001-06-06,0.29,0.02,,,370000,0.25,0.24,0.24,0.24
2001-06-07,0.29,0.02,,,100000,0.24,0.24,0.24,0.24
2001-06-08,0.29,0.02,,,65000,0.25,0.25,0.25,0.25
2001-06-11,0.29,0.02,,,210000,0.25,0.25,0.25,0.25
2001-06-12,0.29,0.02,,,100000,0.25,0.25,0.25,0.25
2001-06-19,0.29,0.02,,,191000,0.28,0.26,0.27,0.27
2001-06-20,0.29,0.02,,,204000,0.29,0.28,0.29,0.29
2001-06-21,0.29,0.02,,,1480000,0.33,0.29,0.33,0.33
2001-06-22,0.29,0.02,,,1375000,0.36,0.35,0.36,0.36
2001-06-25,0.29,0.02,,,316000,0.36,0.36,0.36,0.36
2001-06-26,0.29,0.02,,,365400,0.36,0.33,0.36,0.36
2001-06-29,0.29,0.02,,,295000,0.33,0.3,0.3,0.3
2001-07-04,0.29,0.02,,,4010000,0.25,0.25,0.25,0.25
2001-07-05,0.29,0.02,,,264200,0.25,0.25,0.25,0.25
2001-07-06,0.29,0.02,,,295012,0.25,0.25,0.25,0.25
2001-07-09,0.29,0.02,,,88388,0.25,0.25,0.25,0.25
2001-07-11,0.29,0.02,,,100000,0.25,0.25,0.25,0.25
2001-07-12,0.29,0.02,,,103191,0.25,0.25,0.25,0.25
2001-07-16,0.29,0.02,,,2000,0.25,0.25,0.25,0.25
2001-07-18,0.29,0.02,,,55500,0.25,0.25,0.25,0.25
