DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2001-01-02,85.0,47.0,,,1666,17.94,17.94,17.94,17.94
2001-01-03,85.0,47.0,,,18472,17.9,16.67,16.67,16.67
2001-01-04,85.0,47.0,,,10639,17.98,16.67,17.98,17.98
2001-01-08,85.0,47.0,,,1567,17.9,17.9,17.9,17.9
2001-01-10,85.0,47.0,,,30979,17.9,17.5,17.9,17.9
2001-01-12,85.0,47.0,,,58854,18.0,17.38,18.0,18.0
2001-01-16,85.0,47.0,,,331695,17.85,17.5,17.5,17.5
2001-01-17,85.0,47.0,,,211815,18.0,17.49,18.0,18.0
2001-01-23,85.0,47.0,,,10000,17.99,17.99,17.99,17.99
2001-01-26,85.0,47.0,,,30050,17.4,17.0,17.0,17.0
2001-01-29,85.0,47.0,,,21759,17.0,17.0,17.0,17.0
2001-01-31,85.0,47.0,,,400,17.0,17.0,17.0,17.0
2001-02-01,85.0,47.0,,,13558,17.85,17.0,17.85,17.85
2001-02-02,85.0,47.0,,,30000,17.7,17.7,17.7,17.7
2001-02-07,85.0,47.0,,,34119,17.7,17.3,17.7,17.7
2001-02-09,85.0,47.0,,,145437,17.25,17.0,17.25,17.25
2001-02-16,85.0,47.0,,,2000,17.24,17.24,17.24,17.24
2001-02-20,85.0,47.0,,,14165,17.25,17.24,17.25,17.25
2001-02-21,85.0,47.0,,,20796,17.31,17.3,17.31,17.31
2001-02-22,85.0,47.0,,,300,17.31,17.3,17.3,17.3
2001-02-23,85.0,47.0,,,60394,17.36,17.3,17.36,17.36
2001-02-26,85.0,47.0,,,5000,17.6,17.6,17.6,17.6
2001-02-27,85.0,47.0,,,3000,17.5,17.5,17.5,17.5
2001-03-02,85.0,47.0,,,53942,17.6,17.6,17.6,17.6
2001-03-05,85.0,47.0,,,565100,18.1,17.7,18.1,18.1
2001-03-07,85.0,47.0,,,126544,18.11,18.1,18.1,18.1
2001-03-08,85.0,47.0,,,70000,18.1,18.1,18.1,18.1
2001-03-09,85.0,47.0,,,622,18.1,18.1,18.1,18.1
2001-03-13,85.0,47.0,,,186044,18.2,18.0,18.0,18.0
2001-03-14,85.0,47.0,,,11500,18.0,18.0,18.0,18.0
2001-03-15,85.0,47.0,,,5000,18.1,18.1,18.1,18.1
2001-03-16,85.0,47.0,,,14213,18.9,18.11,18.9,18.9
2001-03-22,85.0,47.0,,,10000,18.9,18.9,18.9,18.9
2001-03-23,85.0,47.0,,,26499,19.35,19.1,19.35,19.35
2001-03-26,85.0,47.0,,,120646,19.5,19.3,19.5,19.5
2001-03-27,85.0,47.0,,,128179,19.35,17.6,19.35,19.35
2001-03-29,85.0,47.0,,,80000,20.0,19.35,20.0,20.0
2001-04-02,85.0,47.0,,,110000,20.0,20.0,20.0,20.0
2001-04-03,85.0,47.0,,,127525,20.01,20.0,20.0,20.0
2001-04-04,85.0,47.0,,,1600,20.0,20.0,20.0,20.0
2001-04-05,85.0,47.0,,,9526,20.0,19.99,19.99,19.99
2001-04-09,85.0,47.0,,,270,19.5,19.5,19.5,19.5
2001-04-10,85.0,47.0,,,101500,19.5,19.5,19.5,19.5
2001-04-11,85.0,47.0,,,161680,19.5,19.35,19.5,19.5
2001-04-12,85.0,47.0,,,29400,20.0,19.51,20.0,20.0
2001-04-18,85.0,47.0,,,2304,20.01,20.01,20.01,20.01
2001-04-19,85.0,47.0,,,44163,20.03,20.01,20.01,20.01
2001-04-24,85.0,47.0,,,3910,20.01,20.01,20.01,20.01
2001-04-25,85.0,47.0,,,116322,21.0,20.03,21.0,21.0
2001-04-27,85.0,47.0,,,30072,22.0,21.0,22.0,22.0
2001-05-02,85.0,47.0,,,26695,23.0,22.5,23.0,23.0
2001-05-03,85.0,47.0,,,34110,24.0,23.2,24.0,24.0
2001-05-04,85.0,47.0,,,15000,25.1,24.2,25.1,25.1
2001-05-07,85.0,47.0,,,41000,25.3,25.3,25.3,25.3
2001-05-09,85.0,47.0,,,18326,25.0,25.0,25.0,25.0
2001-05-11,85.0,47.0,,,9120,24.99,24.99,24.99,24.99
2001-05-14,85.0,47.0,,,360,24.75,24.75,24.75,24.75
2001-05-15,85.0,47.0,,,1440,24.65,24.6,24.6,24.6
2001-05-16,85.0,47.0,,,15450,25.0,24.9,25.0,25.0
2001-05-17,85.0,47.0,,,17775,25.0,25.0,25.0,25.0
2001-05-18,85.0,47.0,,,22000,25.0,25.0,25.0,25.0
2001-05-21,85.0,47.0,,,2540,25.0,25.0,25.0,25.0
2001-05-22,85.0,47.0,,,671282,25.0,24.99,25.0,25.0
2001-05-25,85.0,47.0,,,46800,25.5,25.0,25.5,25.5
2001-05-28,85.0,47.0,,,5000,25.5,25.5,25.5,25.5
2001-05-30,85.0,47.0,,,45009,25.5,25.5,25.5,25.5
2001-05-31,85.0,47.0,,,27491,26.0,25.5,25.5,25.5
2001-06-01,85.0,47.0,,,11850,25.5,25.5,25.5,25.5
2001-06-04,85.0,47.0,,,22000,25.5,25.5,25.5,25.5
2001-06-05,85.0,47.0,,,32341,25.5,25.5,25.5,25.5
2001-06-11,85.0,47.0,,,59819,26.5,25.7,26.5,26.5
2001-06-12,85.0,47.0,,,6000,26.75,26.6,26.75,26.75
2001-06-13,85.0,47.0,,,179197,27.0,27.0,27.0,27.0
2001-06-14,85.0,47.0,,,963959,27.65,27.0,27.65,27.65
2001-06-15,85.0,47.0,,,57500,28.0,28.0,28.0,28.0
2001-06-18,85.0,47.0,,,177371,28.5,28.0,28.0,28.0
2001-06-19,85.0,47.0,,,247648,28.5,28.0,28.5,28.5
2001-06-20,85.0,47.0,,,93452,30.0,29.0,29.75,29.75
2001-06-21,85.0,47.0,,,510877,30.01,29.75,30.0,30.0
2001-06-22,85.0,47.0,,,109158,30.1,30.0,30.0,30.0
2001-06-25,85.0,47.0,,,1500,30.0,29.0,29.0,29.0
2001-06-26,85.0,47.0,,,32595,29.0,29.0,29.0,29.0
2001-06-27,85.0,47.0,,,22946,29.0,29.0,29.0,29.0
