DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2001-01-02,11.2,3.51,,,312177,1.5,1.5,1.5,1.5
2001-01-03,11.2,3.51,,,97464,1.5,1.5,1.5,1.5
2001-01-04,11.2,3.51,,,187060,1.5,1.5,1.5,1.5
2001-01-05,11.2,3.51,,,107860,1.5,1.49,1.49,1.49
2001-01-08,11.2,3.51,,,5000,1.49,1.49,1.49,1.49
2001-01-09,11.2,3.51,,,140000,1.5,1.49,1.5,1.5
2001-01-10,11.2,3.51,,,227220,1.5,1.49,1.49,1.49
2001-01-11,11.2,3.51,,,75000,1.45,1.45,1.45,1.45
2001-01-12,11.2,3.51,,,35000,1.45,1.45,1.45,1.45
2001-01-15,11.2,3.51,,,470893,1.45,1.43,1.43,1.43
2001-01-16,11.2,3.51,,,9389,1.44,1.44,1.44,1.44
2001-01-17,11.2,3.51,,,15611,1.45,1.45,1.45,1.45
2001-01-18,11.2,3.51,,,6800,1.45,1.45,1.45,1.45
2001-01-19,11.2,3.51,,,494597,1.45,1.44,1.45,1.45
2001-01-22,11.2,3.51,,,32212,1.45,1.45,1.45,1.45
2001-01-23,11.2,3.51,,,31583,1.45,1.45,1.45,1.45
2001-01-24,11.2,3.51,,,107546,1.46,1.45,1.46,1.46
2001-01-25,11.2,3.51,,,285343,1.55,1.5,1.55,1.55
2001-01-26,11.2,3.51,,,242706,1.6,1.55,1.6,1.6
2001-01-29,11.2,3.51,,,652636,1.7,1.69,1.7,1.7
2001-01-30,11.2,3.51,,,20000,1.65,1.65,1.65,1.65
2001-01-31,11.2,3.51,,,60000,1.6,1.6,1.6,1.6
2001-02-01,11.2,3.51,,,192383,1.64,1.6,1.64,1.64
2001-02-02,11.2,3.51,,,100000,1.65,1.64,1.65,1.65
2001-02-05,11.2,3.51,,,177976,1.64,1.6,1.64,1.64
2001-02-06,11.2,3.51,,,16285,1.64,1.64,1.64,1.64
2001-02-07,11.2,3.51,,,26285,1.63,1.63,1.63,1.63
2001-02-08,11.2,3.51,,,30000,1.6,1.6,1.6,1.6
2001-02-09,11.2,3.51,,,147360,1.54,1.45,1.46,1.46
2001-02-12,11.2,3.51,,,184995,1.46,1.45,1.45,1.45
2001-02-14,11.2,3.51,,,751697,1.55,1.5,1.55,1.55
2001-02-15,11.2,3.51,,,807500,1.59,1.59,1.59,1.59
2001-02-16,11.2,3.51,,,311375,1.59,1.59,1.59,1.59
2001-02-19,11.2,3.51,,,49925,1.59,1.58,1.59,1.59
2001-02-20,11.2,3.51,,,35000,1.55,1.55,1.55,1.55
2001-02-22,11.2,3.51,,,985880,1.51,1.5,1.5,1.5
2001-02-23,11.2,3.51,,,297000,1.45,1.45,1.45,1.45
2001-02-26,11.2,3.51,,,103072,1.43,1.43,1.43,1.43
2001-02-27,11.2,3.51,,,268427,1.43,1.43,1.43,1.43
2001-03-01,11.2,3.51,,,104367,1.43,1.43,1.43,1.43
2001-03-05,11.2,3.51,,,24745,1.44,1.44,1.44,1.44
2001-03-06,11.2,3.51,,,9147,1.45,1.44,1.45,1.45
2001-03-07,11.2,3.51,,,53921,1.5,1.46,1.5,1.5
2001-03-08,11.2,3.51,,,31489,1.55,1.54,1.54,1.54
