DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2013-09-27,2.4,2.0,,,0,0.0,0.0,0.0,2.0
2013-09-30,2.4,2.0,,,0,0.0,0.0,0.0,2.0
2013-10-01,2.0,2.0,,,499000,2.0,2.0,2.0,2.0
2013-10-02,2.0,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-03,2.0,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-04,2.0,2.0,,,100000,2.0,2.0,2.0,2.0
2013-10-07,2.0,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-08,2.0,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-09,2.05,2.0,,,440000,2.05,2.0,2.0,2.0
2013-10-10,2.05,2.0,,,77814,2.0,2.0,2.0,2.0
2013-10-11,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-14,2.05,2.0,,,8000,2.0,2.0,2.0,2.0
2013-10-15,2.05,2.0,,,474186,2.0,2.0,2.0,2.0
2013-10-16,2.05,2.0,,,1569814,2.0,2.0,2.0,2.0
2013-10-17,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-18,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-22,2.05,2.0,,,500,2.0,2.0,2.0,2.0
2013-10-23,2.05,2.0,,,486600,2.0,2.0,2.0,2.0
2013-10-24,2.05,2.0,,,1100000,2.0,2.0,2.0,2.0
2013-10-25,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-28,2.05,2.0,,,460000,2.0,2.0,2.0,2.0
2013-10-29,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-30,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-10-31,2.05,2.0,,,1695797,2.0,2.0,2.0,2.0
2013-11-01,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-04,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-05,2.05,2.0,,,690289,2.0,2.0,2.0,2.0
2013-11-06,2.05,2.0,,,4000000,2.0,2.0,2.0,2.0
2013-11-07,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-08,2.05,2.0,,,26000,2.0,2.0,2.0,2.0
2013-11-11,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-12,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-13,2.05,2.0,,,155000,2.0,2.0,2.0,2.0
2013-11-14,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-15,2.05,2.0,,,50000,2.0,2.0,2.0,2.0
2013-11-18,2.05,2.0,,,95000,2.0,2.0,2.0,2.0
2013-11-19,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-20,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-21,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-22,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-25,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-26,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-27,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-28,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-11-29,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-02,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-03,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-04,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-05,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-06,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-09,2.05,2.0,,,245298,2.0,2.0,2.0,2.0
2013-12-10,2.05,2.0,,,255702,2.0,2.0,2.0,2.0
2013-12-11,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-12,2.05,2.0,,,100000,2.0,2.0,2.0,2.0
2013-12-13,2.05,2.0,,,50000,2.0,2.0,2.0,2.0
2013-12-16,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-17,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-18,2.05,2.0,,,50000,2.0,2.0,2.0,2.0
2013-12-19,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-20,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-23,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-24,2.05,2.0,,,0,0.0,0.0,2.0,2.0
2013-12-27,2.05,2.0,,,26000,2.0,2.0,2.0,2.0
2013-12-30,2.05,2.0,,,74000,2.0,2.0,2.0,2.0
2013-12-31,2.05,2.0,,,75000,2.0,2.0,2.0,2.0
2014-01-02,2.05,2.0,0.0508,,250000,2.0,2.0,2.0,2.0
2014-01-03,2.05,2.0,0.0508,,205438,2.0,2.0,2.0,2.0
2014-01-06,2.05,2.0,0.0508,,0,0.0,0.0,2.0,2.0
2014-01-07,2.05,2.0,0.0508,,0,0.0,0.0,2.0,2.0
2014-01-08,2.05,2.0,0.0508,,2400,2.0,2.0,2.0,2.0
2014-01-09,2.05,2.0,0.0508,,0,0.0,0.0,2.0,2.0
2014-01-10,2.05,2.0,0.0508,,0,0.0,0.0,2.0,2.0
2014-01-13,2.05,2.0,0.0508,,0,0.0,0.0,2.0,2.0
2014-01-14,2.05,2.0,0.0508,,0,0.0,0.0,2.0,2.0
2014-01-15,2.05,2.0,0.0508,,0,0.0,0.0,2.0,2.0
