DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2001-01-03,34.5,14.99,,,20000,5.1,5.0,5.0,5.0
2001-01-04,34.5,14.99,,,72500,4.75,4.5,4.5,4.5
2001-01-05,34.5,14.99,,,39146,4.5,4.5,4.5,4.5
2001-01-08,34.5,14.99,,,66210,4.5,4.5,4.5,4.5
2001-01-09,34.5,14.99,,,18371,4.51,4.5,4.51,4.51
2001-01-10,34.5,14.99,,,23232,4.5,4.5,4.5,4.5
2001-01-15,34.5,14.99,,,2187,4.51,4.51,4.51,4.51
2001-01-16,34.5,14.99,,,187,4.51,4.51,4.51,4.51
2001-01-22,34.5,14.99,,,656,4.51,4.51,4.51,4.51
2001-01-24,34.5,14.99,,,511200,4.75,4.75,4.75,4.75
2001-02-01,34.5,14.99,,,1562,4.55,4.55,4.55,4.55
2001-02-02,34.5,14.99,,,27620,4.55,4.55,4.55,4.55
2001-02-06,34.5,14.99,,,818,4.55,4.55,4.55,4.55
2001-02-07,34.5,14.99,,,8137,4.55,4.55,4.55,4.55
2001-02-08,34.5,14.99,,,16970,4.55,4.55,4.55,4.55
2001-02-09,34.5,14.99,,,20000,4.55,4.55,4.55,4.55
2001-02-12,34.5,14.99,,,28000,4.55,4.54,4.54,4.54
2001-02-16,34.5,14.99,,,180,4.54,4.54,4.54,4.54
2001-02-19,34.5,14.99,,,1100,4.51,4.51,4.51,4.51
2001-02-21,34.5,14.99,,,720,4.51,4.51,4.51,4.51
2001-02-22,34.5,14.99,,,14280,4.51,4.51,4.51,4.51
2001-02-23,34.5,14.99,,,14280,4.51,4.51,4.51,4.51
2001-02-26,34.5,14.99,,,515000,4.25,4.25,4.25,4.25
2001-03-02,34.5,14.99,,,16381,4.24,4.24,4.24,4.24
2001-03-05,34.5,14.99,,,40000,4.24,4.2,4.2,4.2
2001-03-06,34.5,14.99,,,30000,4.25,4.25,4.25,4.25
2001-03-09,34.5,14.99,,,4983,4.2,4.2,4.2,4.2
2001-03-14,34.5,14.99,,,29215,4.02,4.01,4.01,4.01
2001-03-16,34.5,14.99,,,2741,4.02,4.02,4.02,4.02
2001-03-19,34.5,14.99,,,1750,4.02,4.02,4.02,4.02
2001-03-20,34.5,14.99,,,8643,4.03,4.03,4.03,4.03
2001-03-28,34.5,14.99,,,1000,4.1,4.1,4.1,4.1
2001-03-29,34.5,14.99,,,165776,4.5,4.25,4.5,4.5
2001-03-30,34.5,14.99,,,13000,4.5,4.5,4.5,4.5
2001-04-02,34.5,14.99,,,10049,4.5,4.5,4.5,4.5
2001-04-04,34.5,14.99,,,2837,4.55,4.5,4.5,4.5
2001-04-05,34.5,14.99,,,11245,5.0,4.51,5.0,5.0
2001-04-06,34.5,14.99,,,10000,5.0,5.0,5.0,5.0
2001-04-11,34.5,14.99,,,31661,5.0,4.5,4.5,4.5
2001-04-12,34.5,14.99,,,40843,5.0,4.51,4.51,4.51
2001-04-17,34.5,14.99,,,24428,4.53,4.52,4.52,4.52
2001-04-18,34.5,14.99,,,1000,4.53,4.53,4.53,4.53
2001-04-19,34.5,14.99,,,3500,4.6,4.6,4.6,4.6
2001-04-20,34.5,14.99,,,61000,5.0,4.8,5.0,5.0
2001-04-23,34.5,14.99,,,7625,5.02,5.01,5.02,5.02
2001-04-24,34.5,14.99,,,10200,5.15,5.05,5.15,5.15
2001-04-25,34.5,14.99,,,15000,5.25,5.25,5.25,5.25
2001-04-26,34.5,14.99,,,9375,5.25,5.25,5.25,5.25
2001-04-27,34.5,14.99,,,2000,5.4,5.4,5.4,5.4
2001-05-01,34.5,14.99,,,22622,5.4,5.4,5.4,5.4
2001-05-02,34.5,14.99,,,17000,5.41,5.4,5.4,5.4
2001-05-04,34.5,14.99,,,14000,5.45,5.45,5.45,5.45
2001-05-07,34.5,14.99,,,7582,5.45,5.3,5.3,5.3
2001-05-10,34.5,14.99,,,14938,5.2,5.2,5.2,5.2
2001-05-15,34.5,14.99,,,5962,5.13,5.05,5.05,5.05
2001-05-18,34.5,14.99,,,3000,4.8,4.8,4.8,4.8
2001-05-22,34.5,14.99,,,500,4.8,4.8,4.8,4.8
2001-05-24,34.5,14.99,,,12458,4.81,4.6,4.6,4.6
2001-05-25,34.5,14.99,,,74489,4.61,4.0,4.0,4.0
2001-05-28,34.5,14.99,,,5000,4.02,4.02,4.02,4.02
2001-05-31,34.5,14.99,,,120697,4.2,4.11,4.11,4.11
2001-06-01,34.5,14.99,,,74575,4.15,4.1,4.1,4.1
