DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2016-01-06,0.0,0.0,,,0,0.0,0.0,0.0,2.5
2016-01-07,3.07,3.0,,,257952,3.07,3.0,3.04,3.05
2016-01-08,3.6,3.0,,,69981,3.6,3.6,3.6,3.6
2016-01-11,4.16,3.0,,,70994,4.16,4.05,4.15,4.12
2016-01-12,5.35,3.0,,,22396,5.35,5.35,5.35,5.35
2016-01-13,6.0,3.0,,,385034,6.0,5.33,5.49,5.69
2016-01-14,6.0,3.0,,,280595,5.75,5.01,5.01,5.46
2016-01-15,6.0,3.0,,,100261,5.01,4.95,4.95,5.0
2016-01-18,6.0,4.65,,,20388,4.99,4.65,4.8,4.77
2016-01-19,6.0,4.65,,,60583,4.95,4.7,4.9,4.84
2016-01-20,6.0,4.65,,,129821,4.9,4.7,4.7,4.84
2016-01-21,6.0,4.65,,,27964,4.7,4.7,4.7,4.7
2016-01-22,6.0,4.65,,,27096,4.9,4.7,4.9,4.86
2016-01-25,6.0,4.65,,,0,0.0,0.0,4.9,4.86
2016-01-26,6.0,4.65,,,93105,5.0,4.8,4.98,4.87
2016-01-27,6.0,4.65,,,92161,4.98,4.7,4.7,4.73
2016-01-28,6.0,4.65,,,18908,4.75,4.7,4.7,4.74
2016-01-29,6.0,4.6,,,17996,4.75,4.6,4.75,4.68
2016-02-01,6.0,4.6,,,8388,4.75,4.75,4.75,4.75
2016-02-02,6.0,4.6,,,2050,4.75,4.75,4.75,4.75
2016-02-03,6.0,4.6,,,9500,4.75,4.7,4.7,4.72
2016-02-04,6.0,4.6,,,12000,4.75,4.65,4.65,4.71
2016-02-05,6.0,4.6,,,15000,4.75,4.75,4.75,4.75
2016-02-08,6.0,4.6,,,37187,4.75,4.61,4.61,4.71
2016-02-09,6.0,4.6,,,228954,4.7,4.6,4.6,4.6
2016-02-11,6.0,4.6,,,5447,4.7,4.7,4.7,4.7
2016-02-12,6.0,4.6,,,100000,4.74,4.6,4.6,4.6
2016-02-15,6.0,4.6,,,21300,4.9,4.75,4.9,4.9
2016-02-16,6.0,4.6,,,20000,4.9,4.9,4.9,4.9
2016-02-17,6.0,4.6,,,9807,4.98,4.85,4.85,4.93
2016-02-18,6.0,4.6,,,8996,4.85,4.85,4.85,4.85
